"Инвестиции и трошоци за  заштита на животната средина, во 000 денари"

"Намена","2013 Вкупно инвестиции и трошоци"
"Управување со отпадни води",730197.18
"Циркулациски систем за снабдување со вода",2250511.76
"Заштита на воздухот",784894.36
"Заштита на почвата, површинските и подземните води",247561.95
"Заштита на шумите",160.00
"Заштита на биодиверзитетот и природата",77457.18
"Лов и риболов",45.75
"Постапување со отпад",3248887.88
"Заштита од бучава",57109.81
"Активности за истражување и развој",26173.42
"Образовни, воспитни и други слични активности",903.22
"Административна активност",2398.45
"Опрема за мониторинг и контрола, анализа и трошоци за одржување на опремата",123721.45
"Оценување на влијанието на животната средина и оценување на конзистентноста",6025.62
