"Инвестиции и трошоци за  заштита на животната средина, во 000 денари"

"Намена","2015 Вкупно инвестиции и трошоци"
"Управување со отпадни води",380353.27
"Циркулациски систем за снабдување со вода",531872.01
"Заштита на воздухот",613130.73
"Заштита на почвата, површинските и подземните води",48227.75
"Заштита на шумите",12196.59
"Заштита на биодиверзитетот и природата",283490.16
"Лов и риболов",-
"Постапување со отпад",2351899.64
"Заштита од бучава",75581.32
"Активности за истражување и развој",58423.55
"Образовни, воспитни и други слични активности",3457.51
"Административна активност",54221.12
"Опрема за мониторинг и контрола, анализа и трошоци за одржување на опремата",34577.76
"Оценување на влијанието на животната средина и оценување на конзистентноста",7398.78
